:name:label:description:color_1:color_2:color_3:color_4
0:dachshund:dachshund:dog breed:[38, 33, 33]:[200, 207, 202]:[113, 118, 114]:[100, 70, 53]
0:Dutch Shepherd:Dutch Shepherd:dog breed:[129, 182, 81]:[65, 68, 51]:[101, 134, 69]:[162, 215, 105]
0:Danish Swedish Farmdog:Danish Swedish Farmdog:dog breed:[182, 180, 177]:[22, 22, 25]:[116, 115, 111]:[213, 222, 233]
0:French Bulldog:French Bulldog:dog breed:[195, 184, 172]:[51, 55, 59]:[143, 134, 128]:[234, 225, 212]
0:Akita:Akita:dog breed:[50, 70, 41]:[100, 103, 104]:[205, 201, 206]:[162, 150, 143]
0:Field Spaniel:Field Spaniel:dog breed:[36, 38, 20]:[59, 194, 143]:[184, 141, 112]:[101, 79, 55]
0:Finnish Lapphund:Finnish Lapphund:dog breed:[76, 84, 69]:[176, 183, 159]:[31, 36, 30]:[126, 137, 106]
0:Finnish Spitz:Finnish Spitz:dog breed:[34, 28, 17]:[195, 101, 47]:[243, 168, 103]:[106, 55, 30]
0:Flat-Coated Retriever:Flat-Coated Retriever:dog breed:[37, 24, 23]:[221, 216, 218]:[151, 142, 149]:[110, 77, 71]
0:Formosan Mountain Dog:Formosan Mountain Dog:dog breed:[149, 140, 124]:[54, 49, 43]:[193, 184, 168]:[96, 88, 79]
0:Old German herding dogs:Old German herding dogs:dog type:[56, 58, 69]:[160, 189, 140]:[112, 142, 90]:[221, 228, 213]
0:Alapaha Blue Blood Bulldog:Alapaha Blue Blood Bulldog:dog breed:[85, 51, 29]:[184, 157, 154]:[231, 224, 226]:[146, 100, 79]
0:Australian Stumpy Tail Cattle Dog:Australian Stumpy Tail Cattle Dog:dog breed:[146, 158, 117]:[66, 76, 49]:[110, 130, 77]:[177, 177, 160]
0:American Hairless Terrier:American Hairless Terrier:dog breed:[217, 219, 242]:[97, 126, 189]:[126, 177, 247]:[49, 55, 77]
0:American Akita:American Akita:dog breed:[38, 40, 33]:[234, 226, 225]:[200, 39, 52]:[143, 147, 106]
0:Anatolian Shepherd:Anatolian Shepherd:dog breed:[124, 120, 76]:[225, 218, 192]:[160, 158, 121]:[59, 56, 41]
0:American English Coonhound:American English Coonhound:dog breed:[186, 184, 183]:[212, 212, 214]:[126, 96, 73]:[165, 157, 150]
0:Australian Cattle Dog:Australian Cattle Dog:dog breed:[165, 175, 95]:[84, 96, 26]:[216, 198, 151]:[128, 148, 59]
0:Bichon Frisé:Bichon Frisé:dog breed:[139, 125, 103]:[205, 204, 203]:[43, 30, 22]:[173, 165, 154]
0:American Bulldog:American Bulldog:dog breed:[107, 110, 94]:[196, 203, 215]:[72, 79, 61]:[154, 154, 152]
0:Airedale Terrier:Airedale Terrier:dog breed:[41, 55, 25]:[154, 128, 100]:[220, 230, 231]:[88, 91, 56]
0:Bearded Collie:Bearded Collie:dog breed:[153, 161, 135]:[40, 51, 31]:[211, 212, 214]:[108, 132, 77]
0:Belgian Shepherd:Belgian Shepherd:dog breed:[109, 105, 62]:[47, 48, 34]:[206, 205, 186]:[159, 153, 105]
0:Australian Shepherd:Australian Shepherd:dog breed:[163, 167, 171]:[36, 35, 38]:[209, 218, 227]:[104, 103, 104]
0:Bakharwal Dog:Bakharwal Dog:dog breed:[102, 69, 43]:[187, 185, 180]:[79, 95, 118]:[157, 153, 150]
0:Chinese Chongqing Dog:Chinese Chongqing Dog:dog breed:[46, 50, 43]:[200, 219, 179]:[108, 116, 101]:[165, 187, 128]
0:American Staffordshire Terrier:American Staffordshire Terrier:dog breed:[209, 205, 202]:[116, 101, 90]:[78, 52, 33]:[168, 157, 150]
0:Alano Español:Alano Español:dog breed:[69, 84, 66]:[118, 133, 94]:[193, 204, 213]:[180, 61, 62]
0:American Eskimo Dog:American Eskimo Dog:dog breed:[60, 96, 23]:[163, 164, 163]:[219, 217, 223]:[91, 120, 52]
0:border collie:border collie:dog breed:[224, 220, 191]:[69, 82, 79]:[32, 37, 33]:[154, 152, 117]
0:Braque d'Auvergne:Braque d'Auvergne:dog breed:[135, 131, 128]:[58, 69, 44]:[202, 201, 198]:[99, 102, 89]
0:Presa Canario:Presa Canario:Spanish breed of dog:[91, 95, 100]:[233, 233, 218]:[44, 44, 48]:[154, 153, 146]
0:English Toy Terrier:English Toy Terrier:dog breed:[123, 125, 112]:[205, 211, 210]:[24, 31, 33]:[161, 165, 156]
0:English Foxhound:English Foxhound:dog breed:[113, 105, 85]:[200, 204, 201]:[62, 64, 52]:[170, 156, 129]
